Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Scoring Off,Scoring Def,Passing Off,Passing Def,Rushing Off,Rushing Def,Total Off,Total Def
9,Mississippi State,SEC (West),11,10,3,8.49,6.55,15.04,85.30,-25.29,13.18,2.16,8.23,1.25,10.33,1.98
10,Auburn,SEC (West),22,8,5,11.92,3.07,14.99,86.55,-23.59,13.97,2.09,8.68,1.24,10.63,1.66
11,Baylor,Big 12,7,11,2,13.69,1.28,14.97,92.01,-19.39,13.27,3.28,7.37,0.50,10.06,1.85
12,Arkansas,SEC (West),30,7,6,4.30,10.62,14.91,81.77,-30.19,11.68,1.93,8.22,0.20,9.63,1.19
13,Florida State,ACC (Atlantic),5,13,1,10.59,3.90,14.48,82.13,-20.20,12.80,2.67,7.65,1.42,10.27,2.00
14,UCLA,Pac-12 (South),10,10,3,11.01,3.39,14.40,81.42,-19.66,12.26,2.03,8.02,1.30,9.86,1.73
15,USC,Pac-12 (South),20,9,4,7.74,6.65,14.39,79.66,-22.10,12.53,2.21,6.86,1.20,9.46,1.74
16,Arizona State,Pac-12 (South),12,10,3,10.24,3.02,13.26,81.29,-17.78,11.87,3.29,7.05,1.42,9.31,2.17
17,Kansas State,Big 12,18,9,4,6.32,6.42,12.73,80.94,-24.28,13.32,2.27,6.55,1.22,9.68,1.82
18,Wisconsin,Big Ten (West),13,11,3,3.21,9.49,12.70,79.62,-23.94,10.88,2.44,9.69,0.74,10.30,1.47
19,Marshall,CUSA (East),23,13,1,9.23,3.33,12.55,84.78,-18.77,12.07,2.12,9.30,1.61,10.56,1.75
20,Stanford,Pac-12 (North),30,8,5,-2.79,15.21,12.42,70.49,-31.82,11.93,0.69,7.16,0.49,9.24,0.54
21,Missouri,SEC (East),14,11,3,2.51,9.51,12.02,74.96,-27.01,10.95,1.81,7.72,0.42,9.08,1.14
22,Arizona,Pac-12 (South),19,10,4,6.51,5.39,11.90,77.60,-19.51,10.95,2.86,7.18,1.60,8.97,2.14
23,Clemson,ACC (Atlantic),15,10,3,-1.31,12.94,11.63,75.55,-29.98,11.80,0.72,6.36,0.03,8.81,0.37
24,LSU,SEC (West),30,8,5,-1.43,12.18,10.75,76.14,-31.04,12.39,0.79,7.82,1.30,9.38,1.05
25,Boise State,MWC (Mountain),16,12,2,11.44,-0.86,10.58,82.44,-13.24,12.37,2.89,7.57,1.18,9.61,2.13
26,Louisville,ACC (Atlantic),24,9,4,5.74,4.79,10.52,78.82,-22.75,12.27,2.06,6.90,0.65,9.33,1.37
27,Nebraska,Big Ten (West),30,9,4,9.43,0.83,10.26,82.86,-17.11,11.86,2.00,8.22,1.86,9.70,1.97
28,Oklahoma,Big 12,30,8,5,5.98,4.23,10.21,81.86,-21.02,11.22,2.58,9.08,0.62,10.01,1.72
29,Texas A&M,SEC (West),30,8,5,7.38,2.58,9.96,84.90,-18.25,12.35,2.30,7.76,2.24,10.09,2.28
30,Utah,Pac-12 (South),21,9,4,4.76,5.08,9.84,76.44,-21.18,11.03,2.62,7.23,1.25,8.82,1.75
